clade_name	Methanococcoides	Brevibacterium	Brachybacterium	Microbacterium	Micrococcus	Rothia	Cutibacterium	GGB24744	Ancylomarina	GGB4172	Planococcus	Staphylococcus	Aerococcus	GGB14689	Weissella	GGB61429	GGB61693	Psychrilyobacter	GGB60958	Candidatus_Scalindua	GGB7899	Methylobacterium	Limimaricola	Sulfitobacter	Erythrobacter	Qipengyuania	Sphingomonas	GGB32784	GGB35257	GGB36212	GGB59279	GGB61142	GGB61267	GGB14824	GGB25799	Desulfobacter	Desulfobacula	Desulfosarcina	Candidatus_Electrothrix	Sulfurovum	Alteromonas	Pseudoalteromonas	Sulfuriflexus	Mixta	Alcanivorax	Marinobacterium	Thalassolituus	Acinetobacter	Moraxella	GGB35701	Pseudomonas	Beggiatoa	Thiomargarita	Stenotrophomonas	Xanthomonas	Oceanispirochaeta	Malassezia
CS08_Fast_PCR_10	0.000539695	0	0	0	0	0	0	0	0	0	0	0	0	0.026504998	0	0	0	0	0.0027847	0	0	0	0	0	0	0	0	0	0.008028394	0	0.000190231	0	0	0	0	0	0	0	0.000573209	0	0	0	0	0	0	0	0	0	0	0.000846991	0	0	0.001922919	0	0	0	0
CS08_Fast_PCR_1	0.000401393	0	0	0	0	0	0	0	0	0	0	0	0	0.024279918	0	0	0	0	0.002433597	0	0	0	0	0	0	0	0	0	0.007790199	0	0.000100143	0	0	0	0	0	0	0	0.000600532	0	0	0	0	0	0	0	0	0	0	0.000475312	0	0	0.001804874	0	0	0	0
CS10_Fast_PCR_0	0	0.008750093	0	0	0.010016334	0	0.000992487	0	0	0	0	0.054996844	0	0.000700637	0	0	0	0	0.010496951	0	0	0	0	0.000568667	0.00287751	0.001558579	0	0.013716219	0.17237666	0	8.60E-05	0	0	0	0	0	0	0	0	0	0.000273684	0	0	0	0	0.140378739	0	0	0.012726028	0	0.040542472	0	0.057978343	0	0	0	0
CS10_Fast_PCR_10	0.00087811	0	0	0	0	0	0	0	0	0	0	0	0	0.000978394	0	0	0	0	0.012092282	0	0	0	0.001126371	0.001117886	0.004708529	0.00699152	0	0.013092757	0.135506935	0	0.001805071	0	0	0	0	0	0	0	0	0	0.005148823	0	0	0	0.000458158	0.108904473	0	0	0	0	0.034193055	0	0.047102949	0	0	0	0
CS10_Fast_PCR_1	0.000223154	0	0	0	0	0	0	0	0	0	0	0	0	0.001300309	0	0	0	0	0.014058856	0	0	0	0.001193864	0.003787638	0.005567191	0.007358171	0	0.014334438	0.15617558	0	0.001967145	0	0	0	0	0	0	0	0	0	0.004534583	0	0	0	0	0.125119159	0	0	0	0	0.040364811	0	0.056251921	0	0	0	0
CS12_Fast_PCR_0	0.004191791	0.006367063	0	0	0	0	0.000482423	0	0	0	0	0.00107993	0.000358093	0.055951857	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000185982	0.126396964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000194716	0	0.02480036	0	0	0.002033987	0.001713913	0	0	0.000270753
CS12_Fast_PCR_10	0.005904764	0	0	0	0	0	0	0	0	0	0	0	0	0.056807806	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000947111	0.105565172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.15E-05	0	0	0	0.030765587	0	0	0.003376366	0.001217951	0	0	0
CS12_Fast_PCR_1	0.004281621	0	0	0	0	0	0.00212752	0	0	0	0	0	0	0.056207004	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000637438	0.127137958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000205493	0	0	0	0.026910414	0	0	0.002814031	0.002748089	0	0	0
CS25_Cov_WGS	0.001183933	0	0	0	0	0	0	0	0	0	0	0	0	0.032302442	0	9.47E-05	0.007318318	0	0	0	0	0	0	0	0	0	0	0	0.007650833	0	0	0	0	0	0	0	0	0.000679942	0	0	0	0	0	0	0	0	0	0	0	0.001331925	0	0	0	0	0	0	0
CS25_enzy_WGS	0.001251955	0	0	0	0	0	0	0	0	0	0	0	0	0.031334312	0	9.46E-05	0.005330154	0	0	0	0	0	0	0	0	0	4.91E-05	0	0.008219851	0	0	0	0	0	0	0	0	0.00050413	0	0	0	0	0	0	0	0	0	0	0	0.001388985	0	0	0	0	0	0	0
CS25_Fast_PCR_0	0.00044009	0	0	0	0	0	0	0	0	0	0	0	0	0.028262673	0	0	0.002556225	0	0	0	0	0	0	0	0	0	0	0	0.006546977	0	0	0	0	0	0	0	0	0.000421178	0	0	0	0	0	0	0	0	0	0	0	0.001034625	0	0	0	0	0	0	0
CS25_Fast_PCR_10	0.001417769	0	0	0	0	0	0	0	0	0	0	0	0	0.028029925	0	7.04E-05	0.003112964	0	0	0	0	0	0	0	0	0	0	0	0.006632957	0	0	0	0	0	0	0	0	0.000602883	0	0	0	0	0	0	0	0	0	0	0	0.001154836	0	0	0	0	0	0	0
CS25_Fast_PCR_1	0.001224226	0	0	0	0	0	0	0	0	0	0	0	0	0.02667452	0	0.000223056	0.003840466	0	0	0	0	0	0	0	0	0	0.000201586	0	0.007343763	0	0	0	0	0	0	0	0	0.0004648	0	0	0	0	0	0	0	0	0	0	0	0.001084269	0	0	0	0	0	0	0
CS26_Cov_WGS	0.010714845	0	0	0	0	0	0	0	0	0	0	0	0	0.089260214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007528079	0	0	0	0.001983359	0	0	0	8.32E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.169892092	0	0	0	0	0	0	0
CS26_enzy_WGS	0.013869033	0	0	0	0	0	0	0	0	0.000173338	0	0	0	0.083921337	0	0	0	0	0	0	0	0	0	0	0	0	0.000998665	0	0.009273598	0	0	0	0.004049813	0	0	0	0.000106367	0	0	0	0	0	0	0	0	0	0	0	0	0.189492231	0	0	0	0	0	0	0
CS26_Fast_PCR_0	0.010867963	0	0	0	0	0	0.001349085	0	0	7.13E-05	0	0	0	0.076931548	0	0	0	0	0	0	0	0	0	0	0	0	0.000356586	0	0.003647087	0	0	0	0.002747697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.185072335	0	0	0	0	0	0	0
CS26_Fast_PCR_10	0.013997247	0	0	0	0	0	0	0	0	0.000191439	0	0	0	0.078546601	0	0	0	0	0	0	0	0	0	0	0	0	0.00032847	0	0.007038927	0	0	0	0.002637834	0	0	0	3.43E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.205003445	0	0	0	0	0	0	0
CS26_Fast_PCR_1	0.012525446	0	0	0	0	0	0	0	0	0	0	0	0	0.081070509	0	0	0	0	0	0	0	0	0	0	0	0	0.000257464	0	0.008748022	0	0	0	0.003777424	0	0	0	3.27E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.191030817	0	0	0	0	0	0	0
CS28_Cov_WGS	0.013080633	0	0	0	0	0	0	0.002363916	0.000447087	0	0	0	0	0	0	0	0	0.005006704	0.018156653	6.00E-05	0	0	0	0	0	0	0.000383465	0	0.938034273	0	0	0	0	4.86E-05	0.005290033	0	0.003887131	0	0	9.18E-05	0	0	0	0	0	0	0	0	0	0.000938981	0	0.000251765	0	0	0	0.000122664	0
CS28_enzy_WGS	0.013122367	0	0	0	0	0	0	0.005379952	0.000170815	0	0	0	0	0	0	0	0	0.003510441	0.009722613	0	0	0	0	0	0	0	0.002765874	0	0.972741581	0	0	0	0.000162546	0	0.001606555	0	0.004077343	0	0	0.000143763	0	0	0	0	0	0	0	0	0	0.000655734	0	0	0	0	0	0.000143409	0
CS28_Fast_PCR_0	0.010967649	0	0	0	0	0	0	0.002947868	0.000129092	0	0	0	0	0	0	0	0	0.003734739	0.009759085	0	0	0	0	0	0	0	0.003047133	0	1.007952335	0	0	0	0	0	0.000106872	0	0.003946793	0	0	4.46E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CS28_Fast_PCR_10	0.017034647	0	0	0	0	0	0	0.002660363	0.000264417	0	0	0	0	0	0	0	0	0.007290948	0.015684602	0	0	0	0	0	0	0	0.00242049	0	0.994305031	0	0	0	0	0.0005239	0.001576633	0	0.004822002	0	0	0.000279093	0	0	0	0	0	0	0	0	0	0.001052986	0	5.44E-05	0	0	0	0.000386125	0
CS28_Fast_PCR_1	0.013993348	0	0	0	0	0	0	0.004252579	0.000245173	0	0	0	0	0	0	0	0	0.005235737	0.011724236	0	0	0	0	0	0	0	0.0028193	0	1.013119674	0	0	0	0	9.33E-05	0.001033994	0	0.005207111	0	0	0.000106978	0	0	0	0	0	0	0	0	0	0.000770684	0	0	0	0	0	0.000361651	0
CS31_Cov_WGS	0.000371358	0	0	0	0	0	0	0	0	0	0	0	0	0.037801622	0	0	0.000333181	0	0.003579097	0	0	0	0	0	0	0	0	0	0.004528027	0	0.000519439	0	0	0	0	0	0	0	0.00339255	0	0.000572945	0	0	0	0	0	0	0	0	0.000502953	0	0	0.001828448	0	0	0	0
CS31_enzy_WGS	0.000273769	0	0	0	0	0	0	0	0	0	0	0	0	0.032568975	0	0	0	0	0.002646958	0	0	0	0	0	0	0	0	0	0.005739383	0	0.000616111	0	0	0	0	0	0	0	0.003043896	0	0.000222338	0	0	0	0	0	0.000175128	0	0	0.000198601	0	0	0.00184385	0	0	0	0
CS31_Fast_PCR_0	0	0	0	0	0	0	0.000175939	0	0	0	0	0	0	0.029431875	0	0	0	0	0.001908595	0	0	0	0	0	0	0	0	0	0.005332193	0	0	0	0	0	0	0	0	0	0.002425985	0	0	0	0	0	0	0	0	0	0	9.22E-05	0	0	0.001274892	0	0	0	0
CS31_Fast_PCR_10	0.000328202	0	0	0	0	0	0	0	0	0	0	0	0	0.028725099	0	0	0	0	0.002897042	0	0	0	0	0	0	0	0	0	0.005525692	0	0.000700123	0	0	0	0	0	0	0	0.002502349	0	0.00049458	0	0	0	0	0	0	0	0	0.000337917	0	0	0.001828033	0	0	0	0
CS31_Fast_PCR_1	0.000139213	0	0	0	0	0	0	0	0	0	0	0	0	0.03154071	0	0	0	0	0.002130181	0	0	0	0	0	0	0	0	0	0.005524831	0	0.000320415	0	0	0	0	0	0	0	0.003317998	0	0	0	0	0	0	0	0	0	0	0.000124841	0	0	0.001407063	0	0	0	0
CS33_Cov_WGS	0.000384286	0	0	0	0	0	0	0	0	0	0	0	0	0.001861415	0	0	0	0	0.014191538	0	0	0	0	0	0.001958584	0.003004631	0	0.0086692	0.103741826	0	0.002784134	0	0	0	0	0	0	0	0.000175325	0	0.004027876	0	0	0	0	0.056518195	0	0	0	0	0.012243625	0	0.064973723	0.002002293	0	0	0
CS33_enzy_WGS	0.000357175	0	0	0	0	0	0	0	0	0	0	0	0	0.001791383	0	0	0	0	0.012995543	0	0	0	0.001876335	0.002833294	0.005539711	0.008875978	0.001269682	0.008417328	0.123492909	0	0.003092103	0	0	0	0	0	0	0	0	0	0.006078454	0	0	0	0	0.092162278	0	0	0	0	0.024418078	0	0.061888138	0.005235671	0	0	0
CS33_Fast_PCR_0	0	0	0	0	0	0	0.002573767	0	0	0	0	0	0	0.000293842	0	0	0	0	0.012537459	0	0	0	0.000279068	0.000179976	0.005025385	0.009487934	0.016709001	0.012432846	0.145597984	0	0.002232692	0	0	0	0	0	0	0	0	0	0.001536366	0	0	0	0	0.101190304	0	0	0	0	0.018441535	0	0.079423309	0.003256961	0.012734672	0	0
CS33_Fast_PCR_10	0.000374875	0	0	0	0	0	0	0	0	0	0	0	0	0.001138163	0	0	0	9.71E-05	0.016891357	0	0	0	0.000183886	0	0.002625704	0.002946974	0	0.01074984	0.104666472	0	0.002541805	0	0	0	0	0	0	0	7.49E-05	0	0.00464147	0	0	0	0	0.068872241	0	0	0	0	0.016976349	0	0.072751819	0.001091539	0	0	0
CS33_Fast_PCR_1	0.000240005	0	0	0	0	0	0	0	0	0	0	0	0	0.001189953	0	0	0	0	0.013914426	0	0	0	0.001860516	0.001698158	0.003956982	0.007175108	0	0.008742568	0.128300382	0	0.002557768	0	0	0	0	0	0	0	0.000219727	0	0.004552449	0	0	0	0.00028815	0.091323459	0	0	0	0	0.027790845	0	0.072351455	0.005215882	0	0	0
CS35_Cov_WGS	0.002757302	0	0	0	0	0	0	0	0	0	0	0	0	0.06015819	0	0.000202656	0.001837215	0	0.000497024	0	0	0	0	0	0	0	0	0	0.095603719	0	0	0.000147431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009282719	0	0	0.002171523	0	0	0	0
CS35_enzy_WGS	0.004244423	0	0	0	0	0	0	0	0	0	0	0	0	0.042499859	0	0.000158676	0	1.87E-05	0	0	0	0	0	0	0	0	0.002464447	0.000459046	0.114197767	0	0	0	0	0	0	6.85E-05	0	0	0	0	0	0	0	0	0	0.000468415	0.000131156	0	0	0.018428609	0	0	0.000900527	0	0	0	0
CS35_Fast_PCR_0	0.004295673	0	0	0	0	0	0	0	0	0	0	0	0	0.043191016	0	3.40E-05	0	0	0	0	0	0	0	0	0	0	0.004013356	0.000278217	0.112622889	0	0	0	0	0	0	7.26E-05	0	0	0	0	0	0	0	0	0	0.000174545	0	0.000603292	0	0.01694196	0	0	0.000618521	0	0	0	0
CS35_Fast_PCR_10	0.004675391	0	0	0	0	0	0	0	0	0	0	0	0	0.041116602	0	6.88E-05	0	4.07E-05	0	0	0	0	0	0	0	0	0.001030001	0.000936547	0.094431007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000176896	0	0	0	0.01732845	0	0	0.001827701	0	0	0	0
CS35_Fast_PCR_1	0.004641914	0	0	0	0	0	0	0	0	0	0	0	0	0.043039068	0	0.000128672	0	0	0	0	0	0	0	0	0	0	0.003065679	0.000222142	0.106747643	0	0	0	0	0	0	1.76E-05	0	0	0	0	0	0	0	0	0	0.00041515	2.79E-05	0	0	0.016887634	0	0	0.000857006	0	0	0	0
CS36_Cov_WGS	0.001246167	0	0	0	0	0	0	0	0	0	0	0	0	0.02913414	0	0.000129537	0.008737564	0	0	0	0	0	0	0	0	0	0	0	0.00784754	0	0	0	0	0	0	0	0	0.000642665	0	0	0	0	0	0	0	0	0	0	0	0.000688187	0	0	0	0	0	0	0
CS36_enzy_WGS	0.001163806	0	0	0	0	0	0	0	0	0	0	0	0	0.030945531	0	0.000127194	0.007413633	0	0	0	0	0	0	0	0	0	0	0	0.007331841	0	0	0	0	0	0	0	0	0.000635276	0	0	0	0	0	0	0	0	0	0	0	0.001414035	0	0	0	0	0	0	0
CS36_Fast_PCR_0	0.000345298	0	0	0	0	0	0	0	0	0	0	0	0	0.029974091	0	0	0.002183029	0	0	0	0	0	0	0	0	0	0	0	0.00560689	0	0	0	0	0	0	0	0	9.85E-05	0	0	0	0	0	0	0	0	0	0	0	0.000210165	0	0	0	0	0	0	0
CS36_Fast_PCR_10	0.001323376	0	0	0	0	0	0	0	0	0	0	0	0	0.028816856	0	0.000142227	0.004046797	0	0	0	0	0	0	0	0	0	0	0	0.006295759	0	0	0	0	0	0	0	0	0.000449644	0	0	0	0	0	0	0	0	0	0	0	0.001756353	0	0	0	0	0	0	0
CS36_Fast_PCR_1	0.001119562	0	0	0	0	0	0	0	0	0	0	0	0	0.029163503	0	0.000142689	0.003428568	0	0	0	0	0	0	0	0	0	0	0	0.006682251	0	0	0	0	0	0	0	0	0.000432458	0	0	0	0	0	0	0	0	0	0	0.001393599	0.00088321	0	0	0	0	0	0	0
CS37_Cov_WGS	0.013476263	0	0	0	0	0	0	0	0	4.50E-05	0	0	0	0.083179907	0	0	0	0	0	0	0	0	0	0	0	0	4.69E-05	0	0.007737971	0	0	0	0.003575412	0	0	0	0.000120056	0	0	0	0	7.88E-05	0	0	0	0	0	0	0	0.20036937	0	0	0	0	0	0	0
CS37_enzy_WGS	0.014189108	0	0	0	0	0	0	0	0	0	0	0	0	0.08389792	0	0	2.63E-05	0	0	0	0	0	0	0	0	0	0	0	0.008429381	0	0	0	0.003599829	0	0	0	0	0	0	0	0	7.18E-05	0	0	0	0	0	0	0	0.189773192	0	0	0	0	0	0	0
CS37_Fast_PCR_0	0.010628003	0	0	0	0	0	0	0	0	4.87E-05	0	0	0	0.075564636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00632811	0	0	0	0.001597478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001565641	0.196525361	0	0	0	0	0	0	0
CS37_Fast_PCR_10	0.014077248	0	0	0	0	0	0	0	0	0.0002754	0	0	0	0.072728074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008099007	0	0	0	0.00279709	0	0	0	0	0	0	0	0	0.000346592	0	0	0	0	0	0	0	0.195753176	0	0	0	0	0	0	0
CS37_Fast_PCR_1	0.0133211	0	0	0	0	0	0	0	0	0.000235276	0	0	0	0.078107878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007902284	0	0	0	0.002123085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.198554221	0	0	0	0	0	0	0
CS39_Cov_WGS	0.01075304	0	0	0	0	0	0	0.00474456	0.000272198	0	0	0	0	0	0	0	0	0.003087689	0.009901977	0	0	0	0	0	0	0	0.001572365	0	0.913052567	0	0	0	0	0	0.002016466	0	0.002871977	0	0	0	0	0	0	0	0	0	0	0	0	0.000713296	0	4.88E-05	0	0	0	0.000160116	0
CS39_enzy_WGS	0.011902513	0	0	0	0	0	0	0.006417825	0.000136732	0	0	0	0	0	0	0	0	0.003009383	0.011052356	0	0	0	0	0	0	0	0.000266504	0	0.867915194	0	0	0	0	0	0.00176627	0	0.002843634	0	0	0.000144441	0	0	3.75E-05	0	0	0	0	0	0	0.000402272	0	0	0	0	0	0.000303015	0
CS39_Fast_PCR_0	0.010096416	0	0	0	0	0	0	0.000939307	0	0	0	0	0	0	0	0	0	0.00297479	0.013283547	0	0	0	0	0	0	0	0	0	0.9822463	0	0	0	0	0	0	0	0.003034556	0	0	0.000123825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CS39_Fast_PCR_10	0.013303169	0	0	0	0	0	0	0.003211134	0.000407791	0	0	0	0	0	0.005162647	0	0	0.005287161	0.012558553	0	0	0	0	0	0	0	0.000571143	0	0.925887824	0	0	0	0	0	0.00220113	0	0.004500766	0	0	0.000139814	0	0	0	0	0	0	0	0	0	0.001513358	0	7.26E-05	0	0	0	0.00028257	0
CS39_Fast_PCR_1	0.012930359	0	0	0	0	0	0	0.003673849	0.000174325	0	0	0	0	0	0	0	0	0.003881926	0.01396482	0	0	0	0	0	0	0	0.000589412	0	0.941579722	0	0	0	0	0	0.001462695	0	0.003539079	0	0	0.000165088	0	0	0	0	0	0	0	0	0	0.001256868	0	0	0	0	0	1.84E-05	0
CS42_Cov_WGS	0.000183405	0	0	0	0	0	0	0	0	0	0	0	0	0.035890634	0	0	0.000479142	0	0.002999426	0	0	0	0	0	0	0	0	0	0.005979155	0	0.000421911	0	0	0	0	0	0	0	0.002845303	0	0.000506293	0	0	0	0	0	0	0	0	0.001104155	0	0	0.0022698	0	0	0	0
CS42_enzy_WGS	0.000205531	0	0	0	0	0	0	0	0	0	0	0	0	0.037762398	0	0	0.001084572	0	0.002859368	0	0	0	0	0	0	0	0	0	0.00506894	0	0.000808799	0	0	0	0	0	0	0	0.003002562	0	0.000421226	0	0	0	0	0	0	0	0	0.000365213	0	0	0.001767568	0	0	0	0
CS42_Fast_PCR_0	0	0	0	0	0	0	0.000346006	0	0	0	0	0	0	0.036140167	0	0	0	0	0.001647431	0	0	0.001818305	0	0	0	0	0	0	0.002028918	0	0	0	0	0	0	0	0	0	0.002231582	0	0	0	0	0.000377229	0	0	0	0	0	0	0	0	0.000551225	0	0	0	0
CS42_Fast_PCR_10	0.000374669	0	0	0	0	0	0	0	0	0	0	0	0	0.031642878	0	0	0	0	0.00193222	0	0	0	0	0	0	0	0	0	0.005406254	0	0.000442495	0	0	0	0	0	0	0	0.002874997	0	0.000377382	0	0	0	0	0	0	0	0	0.000338315	0	0	0.00221953	0	0	0	0
CS42_Fast_PCR_1	0.000165856	0	0	0	0	0	0	0	0	0	0	0	0	0.035528511	0	0	0	0	0.002687395	0	0	0	0	0	0	0	0	0	0.005786687	0	0.000274512	0	0	0	0	0	0	0	0.003020674	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001803002	0	0	0	0
CS44_Cov_WGS	0.000477699	0	0	0	0	0	0	0	0	0	0	0	0	0.001153128	0	0	0	0	0.013301637	0	0	0	0.001128245	0.000312437	0.004032307	0.0084094	0	0.008004531	0.127478931	0	0.003611962	0	0	0	0	0	0	0	0.000533109	0	0.006523914	0	0	0	0.000283973	0.089949463	0	0	0	0	0.025028891	0	0.075333987	0.002793241	0	0	0
CS44_enzy_WGS	0.000408536	0	0	0	0	0	0	0	0	0	0	0	0	0.001792125	0	0	0	0	0.014533535	0	0	0	0.002122809	0.002198012	0.004203366	0.006978612	0	0.007418683	0.135399119	0	0.003668506	0	0	0	0	0	0	0	0.000146095	0	0.005636228	0.000262626	0	0	0.000482507	0.089032753	0.000945797	0	0	0	0.024506412	0	0.07004807	0.004542919	0	0	0
CS44_Fast_PCR_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000400637	0	0	0	0	0.015564334	0	0	0	0	0	0.001634698	0.003966561	0	0.005982026	0.140716077	0	0.001297327	0	0	0	0	0	0	0	0	0	0.001822977	0	0	0	0	0.098378407	0	0	0	0	0.017083884	0	0.088576152	0.001814422	0	0	0
CS44_Fast_PCR_10	0.000533838	0	0	0	0	0	0	0	0	0	0	0	0	0.002362215	0	0	0	0	0.017802796	0	0	0	0	0	0.00233956	0.004571195	0	0.009768861	0.108554406	0	0.003168667	0	0	0	0	0	0	0	0.000150844	0	0.005299802	0.000110128	0	0	0	0.071032776	0	0	0	0	0.015538437	0	0.076511237	0.004340492	0	0	0
CS44_Fast_PCR_1	8.69E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.00155823	0	0	0	0	0.015505622	0	0	0	0	0	0.002082102	0.004385048	0	0.009969571	0.117798548	0	0.002424845	0	0	0	0	0	0	0	7.74E-05	0	0.005102556	0	0	0	0	0.078726524	0	0	0	0	0.014288884	0	0.07902092	0.002370994	0	0	0
CS46_Cov_WGS	0.003503312	0	0	0	0	0	0	0	0	0	0	0	0	0.039330207	0	0.000100908	0.000190826	0	0	0	0	0	0	0	0	0	0.000918664	0.000352679	0.113269419	0	0	0	0	0	0	5.45E-05	0	0	0	0	0	0	0	0	0	0.000571979	0.000563487	0	0	0.018315332	0	0	0.001913259	0	0	0	0
CS46_enzy_WGS	0.003357977	0	0	0	0	0	0	0	0	0	0	0	0	0.041683635	0	0.000520526	2.84E-05	0	3.77E-05	0	0	0	0	0	0	0	0	0	0.113792093	0	0	0	0	0	0	3.57E-05	0	0	0	0	0	0	0	0	0	0.000740673	0.000699089	0	0	0.019163563	0	0	0.001613923	0	0	0	0
CS46_Fast_PCR_0	0.001533786	0	0	0	0	0	0	0	0	0	0.001725711	0	0	0.035912696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.093258502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017702424	0	0	0.000629688	0	0	0	0
CS46_Fast_PCR_10	0.003444354	0	0	0	0	0	0	0	0	0	0	0	0	0.039621485	0	0.000219485	0	0	0	0	0	0	0	0	0	0	0	0.000345382	0.098530347	0	0	0	0	0	0	9.92E-05	0	0	0	0	0	0	0	0	0	0.000319757	0.00026795	0	0	0.020233279	0	0	0.00142331	0	0	0	0
