clade_name	Thaumarchaeota_unclassified	Dietzia	Cutibacterium	Prochlorococcus	Staphylococcus	Brevundimonas	Aurantimonas	Paracoccus	Enhydrobacter	Croceicoccus	Erythrobacter	Sphingomonas	Acinetobacter	Moraxella	Pseudomonas	Stenotrophomonas	Malassezia	Myoviridae_unclassified	Phikmvvirus	Podoviridae_unclassified	Siphoviridae_unclassified	Cyprinivirus	Macavirus	Rhadinovirus	Retroviridae_unclassified	Corynebacterium	Limimaricola	Delftia	Hk97virus	Varicellovirus	Cupriavidus	Simplexvirus	Bifidobacterium	Bacteroides	Vibrio	Gammaretrovirus	Gemella	Jeotgalicoccus	Fusicatenibacter	Ruminococcus	Pseudorhizobium	Escherichia	Salmonella	Caudovirales_unclassified	Kp15virus	P1virus	Vhmlvirus	Jerseyvirus	Sfi21dt1virus	Sp31virus	T1virus	Yuavirus	Lymphocryptovirus	Lentivirus	Kp34virus
FDZ070-GBkY2-4MP01.metaphlan3	0	0	0.000405089	0	0	0	0	0	0	0	0	0.00140842	0.000300779	0	0	0.000201947	0	0.000901254	0	0.003927113	0.000804016	0.000236043	0	0.001000132	0	0	0	0	0	0	0.000305935	0	0.000158845	0	0.0009091	0	0	0	0	0	0	0.000106467	1.55E-05	0.001519636	0	0	0.028983161	0	0	0	0	0	0	0	0
FDZ070-GBkY2-4MP1.metaphlan3	7.98E-05	0	0	0	0	0	0	0	0	0	0.000333457	0.001851494	0.002488778	0	0	0.000668077	0	0.001114243	0	0.001276122	0	0.000175449	0	0	0	0	0	0	0	0	0.000651726	0.000233548	0	0	0.001307894	0	0	0	0	0	0	0	0	0	0	0	0.038267262	0	0	0	0	0	0	0	0
FDZ070-GBkY28-30AP01.metaphlan3	0	0	6.63E-05	0	3.32E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000427169	0	0	0	0	0	0	0.000681437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FDZ070-GBkY28-30AP1.metaphlan3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000854679	0	0	0	0	0	0	0.000589571	0.000263859	0	0.000447197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000238967	0	0	0	0	0	0	0	0	0	0	0
FDZ070-GBkY28-30MP01.metaphlan3	0	0	5.02E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001415788	0	0	0.000110391	0	0	0	0.000758862	0	0	0	0	0	0	0	0	0	0.001542357	0	0	0	0	0	0	0	0	0	0	0	0.019050661	0	0	0	0	0	0	0	0
FDZ070-GBkY28-30MP1.metaphlan3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000598997	0	0.001517626	0	0.000271569	0	0	0	0	0	0	0	0	0	0	0	0	0.000614884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FDZ070-GBkY4-6AP01.metaphlan3	0	0	0.000712719	0	0	0	0	8.55E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000281209	0	0	0.000426601	0	0	0	0	0	0.000231761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003005153	0	0	0	0	0	0	0
FDZ070-GBkY4-6AP1.metaphlan3	0	0	6.79E-05	0	0	0	0	0	0	0	0	0	1.74E-05	0	0	0	0	0.00084146	0	0.000220086	0.000607655	0.000119061	0	0	0	0	0	0	0	0	0	0	3.97E-05	3.22E-05	0	0	0	0	4.93E-05	0.000101585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FDZ070-GBkY4-6MP01.metaphlan3	0	0	0	0	0	0	0	0	0.000589097	0	0	0.001527916	0.00205767	0.000209303	0	0.000417085	0	0	0	0	0.001692664	0	0	0.000480265	0	0	0	0	0.005818535	0	1.92E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004505046	0	0	0	0	0	0	0	0	0
FDZ070-GBkY4-6MP1.metaphlan3	0	0	0	0	0	0	0	0	0	0	0	0.001165288	0.00650458	0	0	0	0	0.001809175	0	0.00273427	0	0	0	0.003285261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
