id	type	sample	Extract	Library_Input	Extract_Library_Input	Input	Library	QC	N50	Largest contig	Total length 0	Total length 1000	KMC	annotation_MP3	annotation_MP4	annotation_kraken2	order_kraken2	genus_mp4	nmds1	nmds2	NMDS1	NMDS2	genus_kraken2	duplicate
CS33PCR10	Coldseep	YG-1	MB	PCR10	MBPCR10	10	PCR	0.86927646	857	256382	4118662143	937325153	1434740658	0.03482	0.60709	5.34569635	258	16	-0.00195642	-0.04862353	-1.92936378	0.2857375	2009	0.0113072
CS35Cov	Coldseep	YG-3	MB	Cov	MBCov	WGS	Cov	0.9469252	900	172261	3064974767	777134842	1586184632	0.12089	4.9308	3.4928176	257	9	0.35707441	0.573475	1.11963769	-0.09808059	2012	0.0695845
CS35Enzy	Coldseep	YG-3	MB	Enzy	MBEnzy	WGS	Enzy	0.931283	902	172261	3348671549	843118525	1527965428	0.06858	5.85518	3.9592852	258	12	-0.07804832	-0.1209834	1.55476042	0.59637781	2015	0.00714798
CS35PCR0	Coldseep	YG-3	MB	PCR0	MBPCR0	0	PCR	0.90893785	920	172237	2984081912	798373737	1983101419	0.07294	5.8572	4.05183919	258	11	-0.08460219	-0.1100502	1.56131429	0.58544461	2016	0.189857
CS35PCR1	Coldseep	YG-3	MB	PCR1	MBPCR1	1	PCR	0.91885048	913	260257	3917632248	1026513061	1664084706	0.06526	6.06945	3.92891997	258	11	-0.12091939	-0.12900164	1.59763149	0.60439605	2014	0.0593821
CS35PCR10	Coldseep	YG-3	MB	PCR10	MBPCR10	10	PCR	0.8591384	906	172285	3319971215	864354592	1629856545	0.06682	6.67531	3.66851604	258	10	-0.12606583	-0.11800981	1.60277793	0.59340422	2018	0.0951308
CS36Cov	Coldseep	10E	MC	Cov	MCCov	WGS	Cov	0.94679594	916	158983	3265109245	858621983	1296286593	0.52619	3.34721	3.22292151	257	7	0.10408837	0.15511319	0.59504623	-2.14349166	1995	0.00685252
CS36Enzy	Coldseep	10E	MC	Enzy	MCEnzy	WGS	Enzy	0.93303984	924	138911	2961286123	777280379	1276906318	0.62533	3.46577	3.10834101	256	7	0.09549117	0.12901921	0.60364343	-2.11739768	1994	0.0101144
CS36PCR0	Coldseep	10E	MC	PCR0	MCPCR0	0	PCR	0.86139202	910	102559	1420830159	360795371	1633214777	0.51667	3.73295	2.94572383	256	6	0.0434668	0.03534068	0.6556678	-2.02371915	1995	0.484873
CS36PCR1	Coldseep	10E	MC	PCR1	MCPCR1	1	PCR	0.86768935	913	90875	2795730908	707454582	1387760079	0.54142	3.6587	2.92291706	255	8	0.0039354	0.10255296	0.6951992	-2.09093143	1993	0.135798
CS36PCR10	Coldseep	10E	MC	PCR10	MCPCR10	10	PCR	0.86000051	928	158819	3344203479	873357112	1151935916	0.51496	3.70382	2.86261342	258	7	0.00767175	0.11038471	0.69146285	-2.09876318	1991	0.0120228
CS37Cov	Coldseep	12E	MC	Cov	MCCov	WGS	Cov	0.89609149	924	188434	1972724068	545595149	1170504467	0.05159	18.75872	3.03713184	256	9	-0.06560594	-0.02971826	1.90838384	0.5980186	1989	0.0289775
CS37Enzy	Coldseep	12E	MC	Enzy	MCEnzy	WGS	Enzy	0.92362257	917	159997	2807851491	728565698	1229560156	0.05614	17.51742	3.1935848	258	7	0.01436787	-0.00980568	1.82841003	0.57810602	1990	0.0110225
CS37PCR0	Coldseep	12E	MC	PCR0	MCPCR0	0	PCR	0.84857948	916	130290	1001782504	251138174	1423038201	0.04523	18.72776	2.83484112	257	7	-0.02925373	-0.01476257	1.87203163	0.58306291	1997	0.574361
CS37PCR1	Coldseep	12E	MC	PCR1	MCPCR1	1	PCR	0.85985496	907	263978	2543185274	629022522	1303860680	0.04975	18.67269	2.85595026	258	6	-0.08701188	-0.04423134	1.92978978	0.61253168	1990	0.154966
CS37PCR10	Coldseep	12E	MC	PCR10	MCPCR10	10	PCR	0.86133522	930	247154	3051284131	788209588	1061320183	0.04858	18.73469	2.79185844	257	7	-0.10457131	-0.05892066	1.94734921	0.627221	1994	0.018031
CS39Cov	Coldseep	7B	MC	Cov	MCCov	WGS	Cov	0.94525371	795	74354	4395264967	781014586	1507056909	0.01045	1.11192	5.63322412	256	12	0.02863371	-0.03099065	-1.95276771	-0.05716503	2015	0.00698179
CS39Enzy	Coldseep	7B	MC	Enzy	MCEnzy	WGS	Enzy	0.93503619	779	59150	3597828832	583369013	1467440935	0.01037	1.07073	5.43805048	257	13	0.03241808	-0.03312136	-1.95655208	-0.05503432	2012	0.00806965
CS39PCR0	Coldseep	7B	MC	PCR0	MCPCR0	0	PCR	0.86802211	782	35110	1290312593	220804025	2484668513	0.00575	1.19292	5.21160112	259	7	-0.10053851	0.07576967	-1.82359549	-0.16392535	2012	0.510093
CS39PCR1	Coldseep	7B	MC	PCR1	MCPCR1	1	PCR	0.8622485	796	59059	3239177772	589788596	1840302168	0.00917	1.18427	5.15591503	259	12	0.00775044	-0.01538865	-1.93188444	-0.07276703	2007	0.141863
CS39PCR10	Coldseep	7B	MC	PCR10	MCPCR10	10	PCR	0.86437415	808	83598	4131745356	794066240	1302290303	0.01402	1.17689	5.14336413	256	14	0.02892521	-0.02835779	-1.95305921	-0.05979789	2012	0.0126607
CS42Cov	Coldseep	RY-2	MC	Cov	MCCov	WGS	Cov	0.91530612	835	130907	3594465574	742431313	1414014821	0.04169	2.6619	5.7673896	259	10	-0.12373399	-0.05959709	-0.03943631	0.85532252	2000	0.0234235
CS42Enzy	Coldseep	RY-2	MC	Enzy	MCEnzy	WGS	Enzy	0.92996147	845	107331	3329227171	699999826	1368005163	0.04544	2.25858	6.07215587	255	10	0.28927514	0.07230971	-0.45244544	0.72341572	1998	0.0120087
CS42PCR0	Coldseep	RY-2	MC	PCR0	MCPCR0	0	PCR	0.84171183	843	74404	1057253050	231888254	2022545270	0.035	2.83844	5.63059925	256	8	-0.01030988	0.05147924	-0.15286042	0.74424619	2007	0.561916
CS42PCR1	Coldseep	RY-2	MC	PCR1	MCPCR1	1	PCR	0.86007472	851	185463	3021222574	664456836	1707267303	0.0442	2.61191	5.54680993	257	7	-0.18669899	-0.06062722	0.02352869	0.85635265	1992	0.154914
CS42PCR10	Coldseep	RY-2	MC	PCR10	MCPCR10	10	PCR	0.82599763	881	250157	3461378459	843977505	1251824334	0.03706	2.71303	5.40244044	258	9	-0.2344654	-0.08676462	0.0712951	0.88249005	1999	0.0246286
CS44Cov	Coldseep	YG-1	MC	Cov	MCCov	WGS	Cov	0.94394054	852	172285	4209746968	917064089	1543706303	0.02539	0.60691	5.85876098	257	17	0.06173832	-0.06906402	-1.99305852	0.30617799	2011	0.00578013
CS44Enzy	Coldseep	YG-1	MC	Enzy	MCEnzy	WGS	Enzy	0.9371182	842	172285	3385800192	701749589	1533817328	0.02849	0.61591	5.73169745	256	19	0.08320585	-0.08078259	-2.01452605	0.31789656	2012	0.00856834
CS44PCR0	Coldseep	YG-1	MC	PCR0	MCPCR0	0	PCR	0.86625822	850	172261	2253345294	505186889	2258704831	0.02827	0.68992	5.42747288	257	12	0.02498756	-0.00940667	-1.95630776	0.24652064	2011	0.320824
CS44PCR1	Coldseep	YG-1	MC	PCR1	MCPCR1	1	PCR	0.85935282	849	216080	3475759876	769403234	1732534880	0.03424	0.62544	5.37602821	259	14	0.02924743	-0.04869297	-1.96056763	0.28580694	2003	0.110052
CS44PCR10	Coldseep	YG-1	MC	PCR10	MCPCR10	10	PCR	0.83705705	846	256341	3969277155	873114996	1332300302	0.0319	0.6293	5.23876001	258	15	0.02474062	-0.05214019	-1.95606082	0.28925416	2007	0.0124122
CS46Cov	Coldseep	YG-3	MC	Cov	MCCov	WGS	Cov	0.93987432	918	185567	4161071416	1098024586	1548183825	0.07464	4.99545	4.09638919	259	12	0.07157706	-0.00798768	1.40513504	0.48338209	2023	0.0076377
CS46Enzy	Coldseep	YG-3	MC	Enzy	MCEnzy	WGS	Enzy	0.93146183	904	211139	3430499319	865176351	1528799822	0.0743	4.89216	3.95908333	257	11	0.10992813	-0.01832292	1.36678397	0.49371733	2020	0.00796509
CS46PCR0	Coldseep	YG-3	MC	PCR0	MCPCR0	0	PCR	0.85553182	878	172261	1201262913	294571077	2014728190	0.06375	5.39116	3.7738269	254	6	0.09941221	0.00281703	1.37729989	0.47257738	2011	0.552184
CS46PCR1	Coldseep	YG-3	MC	PCR1	MCPCR1	1	PCR	0.86401101	901	182594	3394185672	867152898	1654281000	0.06442	5.39067	3.7354605	259	9	-0.01918009	-0.09675745	1.49589219	0.57215186	2027	0.111184
CS46PCR10	Coldseep	YG-3	MC	PCR10	MCPCR10	10	PCR	0.8261355	900	172285	3741318574	959458255	1315129028	0.06966	5.57068	3.55731112	259	10	-0.10480101	-0.10643614	1.58151311	0.58183055	2019	0.0146446
MT01Enzy	Water	MT01	MGI	Enzy	MGIEnzy	WGS	Enzy	0.9576079	938	467526	2538198812	658346886	1123532996	7.40375	30.5761	17.38212582	264	117	-1.934243706	-0.093089101	0.040723043	0.005109232	2105	0.00350237
MT01PCR1	Water	MT01	MGI	PCR1	MGIPCR1	1	PCR	0.94910757	951	633981	2850889477	744708658	1336948479	7.58853	34.92363	20.95820709	267	104	-1.998598929	-0.100371225	-0.02363218	-0.002172892	2119	0.0947008
MT02Enzy	Water	MT02	MGI	Enzy	MGIEnzy	WGS	Enzy	0.95827977	934	499947	3294834011	894992927	1282360290	9.76203	24.91617	21.17046361	263	176	-1.903865416	-0.076993789	0.032146744	0.00259657	2120	0.00301124
MT02PCR1	Water	MT02	MGI	PCR1	MGIPCR1	1	PCR	0.94100329	914	369410	3236851578	855437995	1609061408	9.07377	26.52426	23.48777335	265	176	-1.952884148	-0.085430625	-0.016871988	-0.005840267	2122	0.123103
MT03Enzy	Water	MT03	MGI	Enzy	MGIEnzy	WGS	Enzy	0.95499275	938	987282	3933384012	1112666524	1597241885	2.95357	15.01566	9.650589494	260	182	0.411460655	0.610057863	0.02358818	-0.030063736	2107	0.00316344
MT03PCR1	Water	MT03	MGI	PCR1	MGIPCR1	1	PCR	0.91961422	921	728780	3562184148	1014732907	1925854634	2.51551	13.73503	8.947460599	264	167	0.365208459	0.641261654	-0.022664016	0.001140055	2098	0.123079
MT04Enzy	Water	MT04	MGI	Enzy	MGIEnzy	WGS	Enzy	0.95715329	810	892581	3437233051	668925231	1485250714	1.08585	23.77184	6.173898227	264	172	0.466576604	0.967057327	-0.025458468	0.001592325	2101	0.0471277
MT04PCR1	Water	MT04	MGI	PCR1	MGIPCR1	1	PCR	0.94706086	810	364165	3173576287	621700166	1765862833	1.06907	24.02144	6.253277113	262	162	0.474467473	0.968998146	-0.017567599	0.003533144	2104	0.167087
MT05Enzy	Water	MT05	MGI	Enzy	MGIEnzy	WGS	Enzy	0.95415028	1020	754200	2944112016	900186773	1302633392	6.87835	32.65324	18.8799452	261	190	0.811095328	0.571378589	0.031227831	0.031956247	2073	0.00618158
MT05PCR1	Water	MT05	MGI	PCR1	MGIPCR1	1	PCR	0.93539977	1030	420861	2450515099	762918145	1628932811	6.62585	32.33505	19.08340965	262	177	0.802732484	0.553517788	0.022864986	0.014095447	2077	0.168286
MT06Enzy	Water	MT06	MGI	Enzy	MGIEnzy	WGS	Enzy	0.87164372	1029	877838	2671011314	801753021	1167415981	6.8259	29.83316	13.98502246	261	157	0.693438071	0.164112904	-0.042960229	0.098335419	2064	0.0100013
MT06PCR1	Water	MT06	MGI	PCR1	MGIPCR1	1	PCR	0.94022227	1062	624374	2673413994	845189439	1495043102	7.18222	30.81513	14.8979177	257	157	0.719515214	0.141101391	-0.016883086	0.075323906	2068	0.108376
MT07Enzy	Water	MT07	MGI	Enzy	MGIEnzy	WGS	Enzy	0.86702589	1225	1474229	2508385296	932462562	1222652493	13.20579	37.10414	25.87645681	253	197	0.816506643	-0.896251883	0.053260219	0.026389692	2054	0.0092285
MT07PCR1	Water	MT07	MGI	PCR1	MGIPCR1	1	PCR	0.93387108	1310	963262	2386549130	948670681	1478666310	14.37557	38.42932	27.7010966	253	189	0.814185346	-0.936335451	0.050938922	-0.013693875	2060	0.119345
MT08Enzy	Water	MT08	MGI	Enzy	MGIEnzy	WGS	Enzy	0.9149712	1475	1089961	1957189842	855726209	1229282412	20.66579	51.68435	40.1258127	252	200	0.729518633	-1.113254503	-0.022040509	-0.002898342	2048	0.00896623
MT08PCR1	Water	MT08	MGI	PCR1	MGIPCR1	1	PCR	0.94097303	1484	1184968	2309786877	1024349613	1341464751	20.23206	52.10047	39.4159246	254	204	0.740790233	-1.106231989	-0.010768908	0.004124171	2074	0.0692078
MT09Enzy	Water	MT01	MB	Enzy	MBEnzy	WGS	Enzy	0.9622423	949	395060	2489541294	659053674	1111529836	8.15889	33.31396	19.31898546	264	116	-1.976200017	-0.099214115	-0.001233268	-0.001015782	2110	0.00215699
MT09PCR1	Water	MT01	MB	PCR1	MBPCR1	1	PCR	0.9427242	947	382940	2663529981	689904136	1390427048	8.72346	36.45936	21.94695225	267	102	-1.990824343	-0.100118892	-0.015857594	-0.001920558	2116	0.142233
MT10Enzy	Water	MT02	MB	Enzy	MBEnzy	WGS	Enzy	0.9590459	937	1019704	3034927557	837979806	1312371057	9.38936	26.89358	21.89588423	264	181	-1.917345152	-0.07081868	0.018667008	0.008771678	2126	0.00253479
MT10PCR1	Water	MT02	MB	PCR1	MBPCR1	1	PCR	0.93773198	904	347805	2931900654	764443967	1718730596	9.17409	27.96733	24.81038772	266	163	-1.969953924	-0.08511834	-0.033941764	-0.005527981	2124	0.205724
MT11Enzy	Water	MT03	MB	Enzy	MBEnzy	WGS	Enzy	0.95285825	928	989555	3973193146	1101539908	1576738541	2.96724	14.27637	9.383189997	261	182	0.39997448	0.649022699	0.012102005	0.0089011	2099	0.00323515
MT11PCR1	Water	MT03	MB	PCR1	MBPCR1	1	PCR	0.9326312	913	989549	3644859800	998800094	1916370439	2.63084	13.60912	8.774535958	260	173	0.374846304	0.660144181	-0.01302617	0.020022582	2099	0.111586
MT12Enzy	Water	MT04	MB	Enzy	MBEnzy	WGS	Enzy	0.95874821	872	746356	3133145147	724492266	1317754366	1.71764	27.01117	7.264170016	258	162	0.5160362	0.942039974	0.024001128	-0.023425028	2071	0.00239675
MT12PCR1	Water	MT04	MB	PCR1	MBPCR1	1	PCR	0.93796617	848	397705	3230244618	707032695	1667506816	1.48894	26.08288	6.951982074	258	152	0.51106001	0.983764562	0.019024939	0.01829956	2081	0.136445
MT13Enzy	Water	MT05	MB	Enzy	MBEnzy	WGS	Enzy	0.94667308	1085	595122	2510332997	821048685	1337150861	5.58796	32.22139	19.95766479	261	181	0.720458046	0.506517887	-0.059409451	-0.032904454	2063	0.0322641
MT13PCR1	Water	MT05	MB	PCR1	MBPCR1	1	PCR	0.90804222	1067	411191	2368796190	783322336	1546921004	5.15799	32.0067	18.21813307	258	173	0.78518413	0.526275102	0.005316633	-0.01314724	2072	0.156911
MT14Enzy	Water	MT06	MB	Enzy	MBEnzy	WGS	Enzy	0.93149411	1182	1181665	2732552140	998415296	1412194266	8.48989	32.11186	21.70620918	256	174	0.728346957	-0.059754214	-0.008051343	-0.125531699	2048	0.0183715
MT14PCR1	Water	MT06	MB	PCR1	MBPCR1	1	PCR	0.91295116	1144	1063768	2579236080	917820290	1533052726	8.36217	31.87833	19.18410181	254	163	0.804292958	0.017649858	0.067894658	-0.048127627	2065	0.110296
MT15Enzy	Water	MT07	MB	Enzy	MBEnzy	WGS	Enzy	0.93735026	1218	248721	2065726689	785922493	1336205874	17.98463	37.02063	37.26931702	253	186	0.648292607	-0.900903716	-0.114953817	0.02173786	2040	0.0784314
MT15PCR1	Water	MT07	MB	PCR1	MBPCR1	1	PCR	0.92869386	1370	1154318	1698049323	704941767	988144708	17.92154	40.50671	32.81590699	251	179	0.774001101	-0.957075253	0.010754677	-0.034433677	2028	0.0767441
MT16Enzy	Water	MT08	MB	Enzy	MBEnzy	WGS	Enzy	0.95571792	1514	1482243	2341145843	1061251416	1276571532	20.627	49.62746	40.92936334	253	217	0.764669779	-1.112676522	0.013110637	-0.002320362	2062	0.00453978
MT16PCR1	Water	MT08	MB	PCR1	MBPCR1	1	PCR	0.91827894	1539	1678530	2247287869	1041860178	1323605564	19.06205	46.78971	38.91663899	251	203	0.771257921	-1.109261627	0.01969878	0.001094533	2065	0.0791886
TS0AP01	Trench	TS0	MGI	PCR0	MGIPCR0	0	PCR	0.96675266	1160	232697	1331515080	498336889	1796534272	0.11459	11.08549	6.737206185	256	23	-0.466381326	-0.390478545	0.106125449	-0.068232327	2033	0.56093
TS0AP1	Trench	TS0	MGI	PCR1	MGIPCR1	1	PCR	0.96457205	1125	272936	2376850325	867299070	1806131408	0.11583	12.47799	6.806360396	258	29	-0.612855248	-0.372317	-0.040348473	-0.050070782	2049	0.285487
TS0MP01	Trench	TS0	MB	PCR0	MBPCR0	0	PCR	0.96043092	1106	141449	1690350340	603337659	2014808313	0.26157	10.65098	7.969608059	258	34	-0.537590032	-0.297921227	0.034916744	0.024324991	2036	0.477068
TS0MP1	Trench	TS0	MB	PCR1	MBPCR1	1	PCR	0.92846128	1049	153373	2701407596	903691437	1741487236	0.26788	13.48655	8.436016847	259	44	-0.673200494	-0.2282681	-0.100693719	0.093978118	2040	0.200414
TS12AP01	Trench	TS12	MGI	PCR0	MGIPCR0	0	PCR	0.96269079	1483	293971	1049576021	502942869	1264261555	0.01888	9.41338	6.476381684	260	11	-0.217395086	0.062427396	0.217015003	-0.016295982	2042	0.590273
