file	genome	secondary_cluster	threshold	cluster_method	comparison_algorithm	primary_cluster	pipeline	completeness	contamination	length	N50	contigs	GC (%)	tag	type
bin.57.fa	bin.57	107_1	0.01	average	ANImf	107	Pipeline4	80.98	2.735	1914103	8191	275	49.95	some	Trench
Pipeline2_FDZ070-GBkY28-30AP1_bin.15.fa	Pipeline2_FDZ070_GBkY28_30AP1_bin.15	107_1	0.01	average	ANImf	107	Pipeline2	86.97	3.76	2386011	7306	420	49.7	some	Trench
Pipeline1_FDZ070-GBkY28-30AP1_bin.11.fa	Pipeline1_FDZ070_GBkY28_30AP1_bin.11	107_1	0.01	average	ANImf	107	Pipeline1	86.96	3.76	2386011	7306	420	49.7	some	Trench
bin.100.fa	bin.100	108_1	0.01	average	ANImf	108	Pipeline4	88.44	1.98	1074114	52078	40	55.49	all	Trench
Pipeline2_FDZ070-GBkY28-30AP1_bin.82.fa	Pipeline2_FDZ070_GBkY28_30AP1_bin.82	108_1	0.01	average	ANImf	108	Pipeline2	88.45	1.98	1064120	52078	39	55.49	all	Trench
Pipeline1_FDZ070-GBkY28-30AP1_bin.33.fa	Pipeline1_FDZ070_GBkY28_30AP1_bin.33	108_1	0.01	average	ANImf	108	Pipeline1	90.42	1.98	1163853	51599	83	55.56	all	Trench
FDZ070-GBkY28-30AP1@15976.fna	FDZ070_GBkY28_30AP1_15976	108_1	0.01	average	ANImf	108	Pipeline3	81.52	3.96	1032050	51188	58	55.52	all	Trench
FDZ070-GBkY16-18AP1@12705.fna	FDZ070_GBkY16_18AP1_12705	109_1	0.01	average	ANImf	109	Pipeline3	66.34	0.99	1062646	19313	70	45.57	some	Trench
Pipeline2_FDZ070-GBkY16-18AP1_bin.133.fa	Pipeline2_FDZ070_GBkY16_18AP1_bin.133	109_1	0.01	average	ANImf	109	Pipeline2	61.39	0.99	1087364	19313	74	45.61	some	Trench
Pipeline1_FDZ070-GBkY16-18AP1_bin.48.fa	Pipeline1_FDZ070_GBkY16_18AP1_bin.48	109_1	0.01	average	ANImf	109	Pipeline1	61.38	0.99	1084961	19313	73	45.61	some	Trench
FDZ070-GBkY28-30AP1@3513.fna	FDZ070_GBkY28_30AP1_3513	11_1	0.01	average	ANImf	11	Pipeline3	81.55	0.56	1069109	8943	176	32.25	some	Trench
Pipeline1_FDZ070-GBkY28-30AP1_bin.26.fa	Pipeline1_FDZ070_GBkY28_30AP1_bin.26	11_1	0.01	average	ANImf	11	Pipeline1	87.86	2.016	1301350	8943	213	32.32	some	Trench
Pipeline1_FDZ070-GBkY0-2AP1_bin.6.fa	Pipeline1_FDZ070_GBkY0_2AP1_bin.6	11_2	0.01	average	ANImf	11	Pipeline1	70.71	3.92	1422252	9237	197	32.23	uniq	Trench
FDZ070-GBkY12-14AP1@60918.fna	FDZ070_GBkY12_14AP1_60918	110_0	0.01	average	ANImf	110	Pipeline3	62.87	1.98	619950	6621	113	43.3	uniq	Trench
bin.10.fa	bin.10	111_1	0.01	average	ANImf	111	Pipeline4	97.8	0	2902862	103204	44	48.39	all	Trench
FDZ070-GBkY24-26AP1@19333.fna	FDZ070_GBkY24_26AP1_19333	111_1	0.01	average	ANImf	111	Pipeline3	93.96	0	2870885	103204	42	48.43	all	Trench
Pipeline2_FDZ070-GBkY24-26AP1_bin.103.fa	Pipeline2_FDZ070_GBkY24_26AP1_bin.103	111_1	0.01	average	ANImf	111	Pipeline2	97.8	0	2915845	103204	46	48.39	all	Trench
Pipeline1_FDZ070-GBkY24-26AP1_bin.4.fa	Pipeline1_FDZ070_GBkY24_26AP1_bin.4	111_1	0.01	average	ANImf	111	Pipeline1	97.8	0	2915845	103204	46	48.39	all	Trench
FDZ070-GBkY4-6AP1@12083.fna	FDZ070_GBkY4_6AP1_12083	111_2	0.01	average	ANImf	111	Pipeline3	58.62	0	1599979	9128	210	48.71	all	Trench
bin.101.fa	bin.101	111_2	0.01	average	ANImf	111	Pipeline4	82.02	3.296	2276863	8044	328	48.51	all	Trench
Pipeline2_FDZ070-GBkY4-6AP1_bin.95.fa	Pipeline2_FDZ070_GBkY4_6AP1_bin.95	111_2	0.01	average	ANImf	111	Pipeline2	92.79	1.1	2720632	7559	460	48.39	all	Trench
Pipeline1_FDZ070-GBkY4-6AP1_bin.49.fa	Pipeline1_FDZ070_GBkY4_6AP1_bin.49	111_2	0.01	average	ANImf	111	Pipeline1	92.79	1.098	2720632	7559	460	48.39	all	Trench
bin.31.fa	bin.31	112_1	0.01	average	ANImf	112	Pipeline4	93.4	1.098	3351922	111152	55	45.91	all	Trench
FDZ070-GBkY24-26AP1@3452.fna	FDZ070_GBkY24_26AP1_3452	112_1	0.01	average	ANImf	112	Pipeline3	92.31	1.1	3271458	111152	48	45.93	all	Trench
Pipeline2_FDZ070-GBkY24-26AP1_bin.123.fa	Pipeline2_FDZ070_GBkY24_26AP1_bin.123	112_1	0.01	average	ANImf	112	Pipeline2	94.51	2.2	3372229	111152	54	45.98	all	Trench
Pipeline1_FDZ070-GBkY24-26AP1_bin.13.fa	Pipeline1_FDZ070_GBkY24_26AP1_bin.13	112_1	0.01	average	ANImf	112	Pipeline1	96.7	1.098	3506129	100883	91	45.81	all	Trench
bin.53.fa	bin.53	113_1	0.01	average	ANImf	113	Pipeline4	64.83	1.098	1697180	389214	5	47.43	all	Trench
FDZ070-GBkY16-18AP1@8097.fna	FDZ070_GBkY16_18AP1_8097	113_1	0.01	average	ANImf	113	Pipeline3	97.8	1.1	3052085	389214	14	47.4	all	Trench
Pipeline2_FDZ070-GBkY16-18AP1_bin.137.fa	Pipeline2_FDZ070_GBkY16_18AP1_bin.137	113_1	0.01	average	ANImf	113	Pipeline2	97.8	1.1	3048143	389214	13	47.4	all	Trench
Pipeline1_FDZ070-GBkY16-18AP1_bin.76.fa	Pipeline1_FDZ070_GBkY16_18AP1_bin.76	113_1	0.01	average	ANImf	113	Pipeline1	97.8	1.098	3048143	389214	13	47.4	all	Trench
bin.13.fa	bin.13	114_1	0.01	average	ANImf	114	Pipeline4	56.6	0	630292	41967	22	41.67	some	Trench
Pipeline2_FDZ070-GBkY2-4AP1_bin.35.fa	Pipeline2_FDZ070_GBkY2_4AP1_bin.35	114_1	0.01	average	ANImf	114	Pipeline2	61.31	1.69	619664	41967	43	41.45	some	Trench
Pipeline1_FDZ070-GBkY2-4AP1_bin.30.fa	Pipeline1_FDZ070_GBkY2_4AP1_bin.30	114_1	0.01	average	ANImf	114	Pipeline1	61.3	0	574560	41967	20	41.55	some	Trench
FDZ070-GBkY24-26AP1@9160.fna	FDZ070_GBkY24_26AP1_9160	115_1	0.01	average	ANImf	115	Pipeline3	79.35	1.3	2562557	16598	214	53.55	all	Trench
bin.65.fa	bin.65	115_1	0.01	average	ANImf	115	Pipeline4	87.75	1.304	2356844	16067	217	53.94	all	Trench
Pipeline1_FDZ070-GBkY24-26AP1_bin.19.fa	Pipeline1_FDZ070_GBkY24_26AP1_bin.19	115_1	0.01	average	ANImf	115	Pipeline1	90.36	0.869	2629876	15541	273	53.85	all	Trench
Pipeline2_FDZ070-GBkY24-26AP1_bin.121.fa	Pipeline2_FDZ070_GBkY24_26AP1_bin.121	115_1	0.01	average	ANImf	115	Pipeline2	92.54	4	3959337	11112	568	53.02	all	Trench
Pipeline1_FDZ070-GBkY4-6AP1_bin.104.fa	Pipeline1_FDZ070_GBkY4_6AP1_bin.104	115_2	0.01	average	ANImf	115	Pipeline1	58.12	0.449	1776890	2224	834	53.61	uniq	Trench
Pipeline1_FDZ070-GBkY28-30AP1_bin.27.fa	Pipeline1_FDZ070_GBkY28_30AP1_bin.27	116_1	0.01	average	ANImf	116	Pipeline1	92.82	3.589	2458728	76880	51	51.75	some	Trench
Pipeline2_FDZ070-GBkY28-30AP1_bin.29.fa	Pipeline2_FDZ070_GBkY28_30AP1_bin.29	116_1	0.01	average	ANImf	116	Pipeline2	79.43	1.2	2087171	67787	51	51.7	some	Trench
bin.72.fa	bin.72	116_1	0.01	average	ANImf	116	Pipeline4	83.7	3.76	2124327	58066	70	51.9	some	Trench
FDZ070-GBkY24-26AP1@4795.fna	FDZ070_GBkY24_26AP1_4795	117_1	0.01	average	ANImf	117	Pipeline3	57.35	0.85	1279096	5786	272	51.43	some	Trench
Pipeline2_FDZ070-GBkY24-26AP1_bin.27.fa	Pipeline2_FDZ070_GBkY24_26AP1_bin.27	117_1	0.01	average	ANImf	117	Pipeline2	87.81	2.85	2068605	5749	435	50.79	some	Trench
Pipeline1_FDZ070-GBkY24-26AP1_bin.48.fa	Pipeline1_FDZ070_GBkY24_26AP1_bin.48	117_1	0.01	average	ANImf	117	Pipeline1	88.71	1.999	2300556	5572	546	50.68	some	Trench
Pipeline2_FDZ070-GBkY28-30AP1_bin.46.fa	Pipeline2_FDZ070_GBkY28_30AP1_bin.46	117_2	0.01	average	ANImf	117	Pipeline2	84.28	1.03	2104730	17612	174	50.93	some	Trench
Pipeline1_FDZ070-GBkY28-30AP1_bin.38.fa	Pipeline1_FDZ070_GBkY28_30AP1_bin.38	117_2	0.01	average	ANImf	117	Pipeline1	84.27	1.025	2104730	17612	174	50.93	some	Trench
bin.51.fa	bin.51	117_2	0.01	average	ANImf	117	Pipeline4	83.42	1.025	1963646	16712	152	50.88	some	Trench
bin.81.fa	bin.81	118_1	0.01	average	ANImf	118	Pipeline4	97.09	1.196	2491229	78814	52	49.97	some	Trench
Pipeline2_FDZ070-GBkY28-30AP1_bin.75.fa	Pipeline2_FDZ070_GBkY28_30AP1_bin.75	118_1	0.01	average	ANImf	118	Pipeline2	97.1	1.2	2539667	78814	65	49.98	some	Trench
Pipeline1_FDZ070-GBkY28-30AP1_bin.31.fa	Pipeline1_FDZ070_GBkY28_30AP1_bin.31	118_1	0.01	average	ANImf	118	Pipeline1	97.09	1.196	2539667	78814	65	49.98	some	Trench
bin.133.fa	bin.133	119_1	0.01	average	ANImf	119	Pipeline4	77.84	3.088	1435529	7120	211	47.32	some	Trench
Pipeline1_FDZ070-GBkY28-30AP1_bin.35.fa	Pipeline1_FDZ070_GBkY28_30AP1_bin.35	119_1	0.01	average	ANImf	119	Pipeline1	77.84	2.954	2172845	6982	355	46.94	some	Trench
Pipeline1_FDZ070-GBkY0-2AP1_bin.46.fa	Pipeline1_FDZ070_GBkY0_2AP1_bin.46	12_0	0.01	average	ANImf	12	Pipeline1	70.38	0.97	1660101	6991	262	32.03	uniq	Trench
Pipeline1_FDZ070-GBkY16-18AP1_bin.19.fa	Pipeline1_FDZ070_GBkY16_18AP1_bin.19	120_1	0.01	average	ANImf	120	Pipeline1	73.02	1.849	2238286	5578	465	55.76	some	Trench
bin.140.fa	bin.140	120_1	0.01	average	ANImf	120	Pipeline4	63.79	0	1927401	5467	392	55.95	some	Trench
Pipeline2_FDZ070-GBkY16-18AP1_bin.166.fa	Pipeline2_FDZ070_GBkY16_18AP1_bin.166	120_1	0.01	average	ANImf	120	Pipeline2	78.42	5.46	3335974	5044	752	54.83	some	Trench
FDZ070-GBkY0-2AP1@3984.fna	FDZ070_GBkY0_2AP1_3984	121_0	0.01	average	ANImf	121	Pipeline3	88.21	0.31	3413511	47104	118	49.9	uniq	Trench
Pipeline1_FDZ070-GBkY24-26AP1_bin.20.fa	Pipeline1_FDZ070_GBkY24_26AP1_bin.20	122_1	0.01	average	ANImf	122	Pipeline1	66.65	2.197	2834137	7609	427	60.05	some	Trench
Pipeline2_FDZ070-GBkY24-26AP1_bin.9.fa	Pipeline2_FDZ070_GBkY24_26AP1_bin.9	122_1	0.01	average	ANImf	122	Pipeline2	74.53	4.58	3314033	6818	619	60.1	some	Trench
FDZ070-GBkY16-18AP1@2760.fna	FDZ070_GBkY16_18AP1_2760	123_1	0.01	average	ANImf	123	Pipeline3	79.92	0	3369071	16505	271	59.47	all	Trench
bin.117.fa	bin.117	123_1	0.01	average	ANImf	123	Pipeline4	76.07	3.846	3326460	16234	275	59.12	all	Trench
Pipeline2_FDZ070-GBkY16-18AP1_bin.85.fa	Pipeline2_FDZ070_GBkY16_18AP1_bin.85	123_1	0.01	average	ANImf	123	Pipeline2	95.79	1.81	4188856	13748	437	59.21	all	Trench
Pipeline1_FDZ070-GBkY16-18AP1_bin.16.fa	Pipeline1_FDZ070_GBkY16_18AP1_bin.16	123_1	0.01	average	ANImf	123	Pipeline1	95.78	1.812	4188856	13748	437	59.21	all	Trench
Pipeline1_FDZ070-GBkY24-26AP1_bin.86.fa	Pipeline1_FDZ070_GBkY24_26AP1_bin.86	124_0	0.01	average	ANImf	124	Pipeline1	50.98	0.102	2012441	2354	915	61.74	uniq	Trench
FDZ070-GBkY0-2AP1@14818.fna	FDZ070_GBkY0_2AP1_14818	125_1	0.01	average	ANImf	125	Pipeline3	82.27	1.25	2157457	48144	62	58.32	all	Trench
bin.24.fa	bin.24	125_1	0.01	average	ANImf	125	Pipeline4	84.5	1.54	2290828	47658	82	58.25	all	Trench
Pipeline2_FDZ070-GBkY0-2AP1_bin.31.fa	Pipeline2_FDZ070_GBkY0_2AP1_bin.31	125_1	0.01	average	ANImf	125	Pipeline2	85.38	1.72	2312121	45833	95	58.32	all	Trench
Pipeline1_FDZ070-GBkY0-2AP1_bin.4.fa	Pipeline1_FDZ070_GBkY0_2AP1_bin.4	125_1	0.01	average	ANImf	125	Pipeline1	85.38	1.716	2312121	45833	95	58.32	all	Trench
bin.73.fa	bin.73	126_1	0.01	average	ANImf	126	Pipeline4	81.6	0.723	2115107	77096	41	56.7	some	Trench
Pipeline2_FDZ070-GBkY0-2AP1_bin.4.fa	Pipeline2_FDZ070_GBkY0_2AP1_bin.4	126_1	0.01	average	ANImf	126	Pipeline2	84.42	0.9	2560439	64385	90	56.24	some	Trench
Pipeline1_FDZ070-GBkY0-2AP1_bin.68.fa	Pipeline1_FDZ070_GBkY0_2AP1_bin.68	126_1	0.01	average	ANImf	126	Pipeline1	84.41	0.899	2560439	64385	90	56.24	some	Trench
bin.91.fa	bin.91	127_1	0.01	average	ANImf	127	Pipeline4	80.87	5.105	2445983	41247	93	55.75	some	Trench
FDZ070-GBkY2-4AP1@11763.fna	FDZ070_GBkY2_4AP1_11763	127_1	0.01	average	ANImf	127	Pipeline3	82.6	1.76	2707714	36817	108	55.37	some	Trench
Pipeline1_FDZ070-GBkY2-4AP1_bin.59.fa	Pipeline1_FDZ070_GBkY2_4AP1_bin.59	127_1	0.01	average	ANImf	127	Pipeline1	60.34	0	1865904	36659	71	55.84	some	Trench
Pipeline1_FDZ070-GBkY0-2AP1_bin.31.fa	Pipeline1_FDZ070_GBkY0_2AP1_bin.31	128_1	0.01	average	ANImf	128	Pipeline1	82.3	1.047	2506988	46521	87	55.59	some	Trench
Pipeline2_FDZ070-GBkY0-2AP1_bin.140.fa	Pipeline2_FDZ070_GBkY0_2AP1_bin.140	128_1	0.01	average	ANImf	128	Pipeline2	84.89	1.93	2759837	43795	139	55.57	some	Trench
FDZ070-GBkY0-2AP1@2522.fna	FDZ070_GBkY0_2AP1_2522	128_1	0.01	average	ANImf	128	Pipeline3	86.24	2.18	2981734	40734	119	55.5	some	Trench
FDZ070-GBkY4-6AP1@6946.fna	FDZ070_GBkY4_6AP1_6946	128_2	0.01	average	ANImf	128	Pipeline3	61.13	0.84	1967675	15859	159	55.64	some	Trench
Pipeline1_FDZ070-GBkY24-26AP1_bin.55.fa	Pipeline1_FDZ070_GBkY24_26AP1_bin.55	128_2	0.01	average	ANImf	128	Pipeline1	73.27	1.181	2396332	6154	438	55.51	some	Trench
Pipeline2_FDZ070-GBkY24-26AP1_bin.117.fa	Pipeline2_FDZ070_GBkY24_26AP1_bin.117	128_2	0.01	average	ANImf	128	Pipeline2	84.36	3.77	3434796	5349	753	55.13	some	Trench
FDZ070-GBkY28-30AP1@2371.fna	FDZ070_GBkY28_30AP1_2371	129_1	0.01	average	ANImf	129	Pipeline3	94.7	0	4228999	26153	246	56	all	Trench
bin.52.fa	bin.52	129_1	0.01	average	ANImf	129	Pipeline4	96.59	0	4085611	23803	272	56.09	all	Trench
Pipeline2_FDZ070-GBkY28-30AP1_bin.51.fa	Pipeline2_FDZ070_GBkY28_30AP1_bin.51	129_1	0.01	average	ANImf	129	Pipeline2	94.7	0	4498491	23285	302	55.98	all	Trench
Pipeline1_FDZ070-GBkY28-30AP1_bin.15.fa	Pipeline1_FDZ070_GBkY28_30AP1_bin.15	129_1	0.01	average	ANImf	129	Pipeline1	97.72	0	4595331	23285	321	56	all	Trench
FDZ070-GBkY24-26AP1@2660.fna	FDZ070_GBkY24_26AP1_2660	13_0	0.01	average	ANImf	13	Pipeline3	67.29	0	791415	38204	32	31.03	uniq	Trench
bin.132.fa	bin.132	130_1	0.01	average	ANImf	130	Pipeline4	87.27	1.136	2827049	18688	191	58.4	all	Trench
FDZ070-GBkY24-26AP1@12110.fna	FDZ070_GBkY24_26AP1_12110	130_1	0.01	average	ANImf	130	Pipeline3	87.27	1.14	2756574	18688	188	58.4	all	Trench
Pipeline2_FDZ070-GBkY24-26AP1_bin.113.fa	Pipeline2_FDZ070_GBkY24_26AP1_bin.113	130_1	0.01	average	ANImf	130	Pipeline2	90.68	1.14	3037731	17488	240	58.4	all	Trench
Pipeline1_FDZ070-GBkY24-26AP1_bin.64.fa	Pipeline1_FDZ070_GBkY24_26AP1_bin.64	130_1	0.01	average	ANImf	130	Pipeline1	92.95	1.136	3134127	17488	245	58.18	all	Trench
FDZ070-GBkY4-6AP1@7504.fna	FDZ070_GBkY4_6AP1_7504	131_1	0.01	average	ANImf	131	Pipeline3	75.23	1.14	2542277	14446	235	66.04	all	Trench
bin.26.fa	bin.26	131_1	0.01	average	ANImf	131	Pipeline4	88.63	1.136	3107925	12480	348	65.81	all	Trench
Pipeline2_FDZ070-GBkY4-6AP1_bin.130.fa	Pipeline2_FDZ070_GBkY4_6AP1_bin.130	131_1	0.01	average	ANImf	131	Pipeline2	87.5	1.14	3021196	12217	359	66.04	all	Trench
Pipeline1_FDZ070-GBkY4-6AP1_bin.84.fa	Pipeline1_FDZ070_GBkY4_6AP1_bin.84	131_1	0.01	average	ANImf	131	Pipeline1	90.9	1.136	3406904	12038	427	65.38	all	Trench
bin.120.fa	bin.120	132_1	0.01	average	ANImf	132	Pipeline4	90.9	2.272	4422898	21042	274	63.49	some	Trench
Pipeline2_FDZ070-GBkY4-6AP1_bin.168.fa	Pipeline2_FDZ070_GBkY4_6AP1_bin.168	132_1	0.01	average	ANImf	132	Pipeline2	95.45	5.68	5338299	18919	452	63.28	some	Trench
Pipeline1_FDZ070-GBkY4-6AP1_bin.17.fa	Pipeline1_FDZ070_GBkY4_6AP1_bin.17	132_1	0.01	average	ANImf	132	Pipeline1	95.45	5.681	5332264	18919	450	63.29	some	Trench
FDZ070-GBkY0-2AP1@7610.fna	FDZ070_GBkY0_2AP1_7610	133_1	0.01	average	ANImf	133	Pipeline3	83.97	4.27	2815851	18443	186	55.49	some	Trench
Pipeline1_FDZ070-GBkY0-2AP1_bin.30.fa	Pipeline1_FDZ070_GBkY0_2AP1_bin.30	133_1	0.01	average	ANImf	133	Pipeline1	91.66	5.128	3371410	16141	313	55.46	some	Trench
Pipeline2_FDZ070-GBkY0-2AP1_bin.120.fa	Pipeline2_FDZ070_GBkY0_2AP1_bin.120	133_1	0.01	average	ANImf	133	Pipeline2	89.96	5.13	3651747	15186	387	55.43	some	Trench
Pipeline1_FDZ070-GBkY4-6AP1_bin.106.fa	Pipeline1_FDZ070_GBkY4_6AP1_bin.106	134_0	0.01	average	ANImf	134	Pipeline1	60.38	1.198	3479083	4055	941	64.97	uniq	Trench
Pipeline1_FDZ070-GBkY4-6AP1_bin.23.fa	Pipeline1_FDZ070_GBkY4_6AP1_bin.23	135_1	0.01	average	ANImf	135	Pipeline1	74	3.977	2978566	6388	590	57.5	some	Trench
Pipeline2_FDZ070-GBkY4-6AP1_bin.35.fa	Pipeline2_FDZ070_GBkY4_6AP1_bin.35	135_1	0.01	average	ANImf	135	Pipeline2	78.77	5.11	3331909	6139	683	57.35	some	Trench
Pipeline2_FDZ070-GBkY24-26AP1_bin.73.fa	Pipeline2_FDZ070_GBkY24_26AP1_bin.73	135_2	0.01	average	ANImf	135	Pipeline2	60.89	1.24	2352576	3373	740	57.22	some	Trench
Pipeline1_FDZ070-GBkY24-26AP1_bin.60.fa	Pipeline1_FDZ070_GBkY24_26AP1_bin.60	135_2	0.01	average	ANImf	135	Pipeline1	63.47	1.239	2286531	3177	787	57.45	some	Trench
FDZ070-GBkY4-6AP1@4665.fna	FDZ070_GBkY4_6AP1_4665	136_1	0.01	average	ANImf	136	Pipeline3	93.18	2.84	4121979	80755	77	47.17	all	Trench
bin.47.fa	bin.47	136_1	0.01	average	ANImf	136	Pipeline4	95.45	2.272	4127122	77457	82	47.04	all	Trench
Pipeline2_FDZ070-GBkY4-6AP1_bin.173.fa	Pipeline2_FDZ070_GBkY4_6AP1_bin.173	136_1	0.01	average	ANImf	136	Pipeline2	96.59	2.84	4316036	77457	91	47.15	all	Trench
Pipeline1_FDZ070-GBkY4-6AP1_bin.42.fa	Pipeline1_FDZ070_GBkY4_6AP1_bin.42	136_1	0.01	average	ANImf	136	Pipeline1	96.59	2.84	4316036	77457	91	47.15	all	Trench
FDZ070-GBkY24-26AP1@18488.fna	FDZ070_GBkY24_26AP1_18488	137_1	0.01	average	ANImf	137	Pipeline3	95.45	1.7	3572470	50908	92	60.98	some	Trench
Pipeline2_FDZ070-GBkY24-26AP1_bin.35.fa	Pipeline2_FDZ070_GBkY24_26AP1_bin.35	137_1	0.01	average	ANImf	137	Pipeline2	97.73	1.7	3902855	47831	158	61.03	some	Trench
Pipeline1_FDZ070-GBkY24-26AP1_bin.41.fa	Pipeline1_FDZ070_GBkY24_26AP1_bin.41	137_1	0.01	average	ANImf	137	Pipeline1	97.72	1.704	3902855	47831	158	61.03	some	Trench
FDZ070-GBkY2-4AP1@15532.fna	FDZ070_GBkY2_4AP1_15532	137_2	0.01	average	ANImf	137	Pipeline3	64.78	1.61	3141011	17002	248	60.07	uniq	Trench
FDZ070-GBkY0-2AP1@6307.fna	FDZ070_GBkY0_2AP1_6307	138_1	0.01	average	ANImf	138	Pipeline3	73.42	2.37	4088124	14123	355	57.73	all	Trench
Pipeline1_FDZ070-GBkY0-2AP1_bin.58.fa	Pipeline1_FDZ070_GBkY0_2AP1_bin.58	138_1	0.01	average	ANImf	138	Pipeline1	90.42	2.366	5343801	11781	568	57.73	all	Trench
bin.8.fa	bin.8	138_1	0.01	average	ANImf	138	Pipeline4	88.98	4.665	5652182	11537	605	57.61	all	Trench
Pipeline2_FDZ070-GBkY0-2AP1_bin.125.fa	Pipeline2_FDZ070_GBkY0_2AP1_bin.125	138_1	0.01	average	ANImf	138	Pipeline2	97.13	5.31	5941266	10705	794	57.76	all	Trench
